,MLS Number,Property Type,Status,Unit Number,Unit Number,Street Number,Street Name,City/Location,Zip Code,Subdivision,Market Area,SqrFt_Bin,YrBuilt_Bin,Bedrooms,List Price_x,Rental_estimate,Initial Investment,Annual Income,Annual Cash Flow,Cap Rates,lat,lng
234,46417025.0,Townhouse/Condo,Active,,,4228,Center,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(2646.5, 3379.333]","(2005.0, 2020.0]",3.0,489000.0,4500.0,112470.0,54000.0,10950.480000000003,0.09736356361696455,29.7712546,-95.4037816
217,74162085.0,Single-Family,Active,B,B,1710,SUMMER,Houston,77007.0,Brilliant Summer,Washington East/Sabine,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,469000.0,4000.0,107870.0,48000.0,7204.080000000002,0.0667848335959952,29.773183,-95.37522799999999
203,23805268.0,Townhouse/Condo,Active,,,628,Knox,Houston,77007.0,Knox Court,Rice Military/Washington Corridor,"(2646.5, 3379.333]","(1990.0, 2005.0]",3.0,459000.0,3900.0,105570.0,46800.0,6896.880000000001,0.0653299232736573,29.768202,-95.420863
235,82956868.0,Single-Family,Active,,,5005,Blossom,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(2646.5, 3379.333]","(2005.0, 2020.0]",3.0,549900.0,4500.0,126477.0,54000.0,6463.368000000002,0.05110310965630116,29.7673091,-95.4118112
346,83966239.0,Single-Family,Active,,,507,Reinerman,Houston,77007.0,Rice Military / Washington,Rice Military/Washington Corridor,"(3379.333, 4112.167]","(1990.0, 2005.0]",4.0,1100000.0,8250.0,253000.0,99000.0,5082.0,0.02008695652173913,29.7670101,-95.4136114
127,22841229.0,Single-Family,Active,C,C,4609,Nett,Houston,77007.0,Nett Street Lndg,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,399900.0,3300.0,91977.0,39600.0,4987.368000000002,0.0542240777585701,29.7717585,-95.4077609
52,30992218.0,Single-Family,Active,,,2725,Sherwin,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,355000.0,2900.0,81650.0,34800.0,4119.5999999999985,0.050454378444580505,29.782757,-95.427228
88,39767380.0,Townhouse/Condo,Active,,,503,Detering,Houston,77007.0,Detering H E,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,371800.0,3000.0,85514.0,36000.0,3925.7760000000017,0.04590799167387798,29.766817,-95.41655399999999
128,61312561.0,Single-Family,Active,A,A,4609,Nett,Houston,77007.0,Nett Street Lndg,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,419000.0,3300.0,96370.0,39600.0,3580.0800000000017,0.03714932032790289,29.7717585,-95.4077609
89,35175050.0,Townhouse/Condo,Active,,,515,Detering,Houston,77007.0,Detering H E,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,389900.0,3000.0,89677.0,36000.0,2592.1680000000015,0.028905605673695614,29.7670758,-95.4165093
