MLS Number,Property Type,Status,Street Number,Street Name,Unit Number,City/Location,Zip Code,County,List Price,Close Price,Close Date,Area,Subdivision,Master Planned Community,Market Area,School District,School Elementary,School Middle,School High,Sq Ft Total,Price Sq Ft List,Price Sq Ft Sold,Lot Size,Acres,Price Acre List,Price Acre Sales,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Room Count,Fireplaces Number,Stories,New Construction,New Construction Desc,Pool Private,No Of Garage Cap,Style,DOM,CDOM,List Office MLSID,List Office Name,List Agent MLSID,List Agent Full Name,Selling Office MLSID,Selling Office Name,Selling Agent MLSID,Selling Agent Full Name,Realist Owner Name,Last Change Timestamp,List Date ,Cap_Rate
57762389,Rental,Active,4223 1/2,Marina,,Houston,77007,Harris,$895.00,,,16,Spencer,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,450,$1.99,,3700,0.0849,$10542.00,,1930,1,1,0,1,3,,2,FALSE,,FALSE,0,,2,42,CREG01,Champions Real Estate Group,XIULING,Shirley Ling Lu,,,,,,09/14/2019 11:44:37 PM,09/14/2019 12:00:00 AM,#N/A
79734246,Rental,Active,1111,Durham Dr,220,Houston,77007,Harris,$1076.00,,,16,Washington Corridor/ Rice Military,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),515,$2.09,,441812,10.1426,$106.00,,2018,1,1,0,1,1,,1,FALSE,,FALSE,1,,62,62,FRIS01,ULR Properties,mbmims,Marvin Mims,,,,,,09/11/2019 7:11:34 PM,07/16/2019 12:00:00 AM,#N/A
35573780,Rental,Active,5353,Memorial,3026,Houston,77007,Harris,$1360.00,,,16,Memorial Park/Washington Ave,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),664,$2.05,,,,,,2000,1,1,0,1,2,,1,FALSE,,FALSE,1,"Colonial, French, Traditional",10,10,JPAS01,JPAR - The Sears Group,dagsmith,Danielle Smith,,,,,,09/06/2019 4:19:03 PM,09/06/2019 12:00:00 AM,#N/A
12224183,Rental,Active,5353,Memorial,3017,Houston,77007,Harris,$1360.00,,,16,Memorial Park/Washington Ave,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),664,$2.05,,,,,,2000,1,1,0,1,2,,1,FALSE,,FALSE,1,"Colonial, French, Traditional",10,10,JPAS01,JPAR - The Sears Group,dagsmith,Danielle Smith,,,,,,09/06/2019 4:12:28 PM,09/06/2019 12:00:00 AM,#N/A
3848481,Rental,Active,5353,Memorial,3002,Houston,77007,Harris,$1360.00,,,16,Memorial Park/Washington Ave,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),664,$2.05,,,,,,2000,1,1,0,1,2,,1,FALSE,,FALSE,1,"Colonial, French, Traditional",10,10,JPAS01,JPAR - The Sears Group,dagsmith,Danielle Smith,,,,,,09/06/2019 4:00:52 PM,09/06/2019 12:00:00 AM,#N/A
33481856,Rental,Active,1212,Dart,,Houston,77007,Harris,$1395.00,,,9,Baker Nsbb,,Washington East/Sabine,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,900,$1.55,,5000,0.1148,$12152.00,,1930,1,1,0,1,3,,1,FALSE,,FALSE,1,Traditional,79,79,SUAN02,Berkshire Hathaway HomeService,LMINER,Linda Miner,,,,,,08/29/2019 10:02:02 PM,06/29/2019 12:00:00 AM,#N/A
23435509,Rental,Active,531,Threlkeld,,Houston,77007,Harris,$1400.00,,,9,Usener,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,912,$1.54,,6000,,,,1920,2,1,0,1,5,0,1,FALSE,,FALSE,0,Traditional,24,24,BLVD01,Boulevard Realty,MULLINSC,Cynthia Mullins,,,,,,08/23/2019 7:18:06 PM,08/23/2019 12:00:00 AM,#N/A
44687062,Rental,Active,821,Harvard,,Houston,77007,Harris,$1400.00,,,9,Houston Heights,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,650,$2.15,,6600,0.1515,$9241.00,,2010,1,1,0,1,2,,1,FALSE,,FALSE,0,,27,27,CERE01,Crown Eagle Realty,ALKOR,Aleksander Koronowski,,,,,,08/20/2019 4:38:32 PM,08/20/2019 12:00:00 AM,#N/A
19379653,Rental,Active,320,Jackson Hill,A1,Houston,77007,Harris,$1424.00,,,16,Jackson Hill,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,665,$2.14,,207184,4.7563,$299.00,,2003,1,1,0,1,3,,1,FALSE,,FALSE,1,"Mediterranean, Traditional",54,54,MNRK01,Monark Realty,KGuerra,Kirsten Guerra,,,,,,07/24/2019 2:15:05 PM,07/24/2019 12:00:00 AM,#N/A
368704,Rental,Active,1441,East,308,Houston,77007,Harris,$1450.00,,,16,Heights/Madison Park,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,742,$1.95,,,,,,2003,1,1,0,1,3,,1,FALSE,,FALSE,1,Contemporary/Modern,21,21,TRNR01,Martha Turner Sotheby's,AKRISTIN,Kristin Finley,,,,,,08/26/2019 1:19:30 PM,08/26/2019 12:00:00 AM,#N/A
